"Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903,283.903
283.911,283.911,283.911,283.911,283.911,283.911,283.911,283.91,283.911,283.91,283.911,283.909,283.911,283.91,283.91,283.912,283.911,283.911,283.911,283.91,283.911,283.911,283.911,283.911,283.911,283.911,283.911,283.91,283.911,283.911,283.91,283.911,283.911,283.911,283.912,283.911,283.911,283.911,283.912,283.911,283.911,283.911,283.911,283.91,283.91,283.912,283.911,283.911,283.911,283.91,283.911,283.911,283.91,283.911,283.911
283.919,283.919,283.92,283.919,283.921,283.919,283.92,283.92,283.92,283.921,283.922,283.917,283.92,283.92,283.917,283.921,283.922,283.922,283.92,283.918,283.919,283.92,283.921,283.919,283.919,283.921,283.919,283.92,283.92,283.92,283.917,283.919,283.919,283.922,283.921,283.918,283.92,283.921,283.921,283.923,283.918,283.92,283.92,283.92,283.918,283.923,283.918,283.92,283.918,283.919,283.92,283.921,283.917,283.921,283.922
283.932,283.93,283.931,283.927,283.929,283.929,283.929,283.931,283.93,283.928,283.936,283.927,283.931,283.931,283.926,283.932,283.936,283.93,283.931,283.927,283.928,283.929,283.934,283.929,283.926,283.932,283.927,283.932,283.929,283.929,283.924,283.931,283.928,283.935,283.931,283.926,283.93,283.931,283.93,283.935,283.929,283.93,283.931,283.932,283.927,283.936,283.923,283.931,283.927,283.931,283.933,283.932,283.926,283.933,283.931
283.942,283.942,283.946,283.936,283.938,283.938,283.94,283.946,283.941,283.939,283.947,283.937,283.944,283.944,283.939,283.946,283.951,283.94,283.944,283.94,283.94,283.939,283.95,283.941,283.933,283.943,283.936,283.947,283.94,283.938,283.932,283.943,283.937,283.948,283.941,283.933,283.938,283.942,283.936,283.947,283.941,283.942,283.944,283.948,283.936,283.952,283.934,283.941,283.938,283.942,283.948,283.942,283.939,283.943,283.939
283.957,283.954,283.961,283.946,283.949,283.946,283.951,283.959,283.951,283.952,283.959,283.947,283.956,283.956,283.956,283.958,283.964,283.953,283.958,283.955,283.953,283.951,283.968,283.955,283.945,283.957,283.947,283.963,283.952,283.948,283.944,283.954,283.95,283.96,283.953,283.943,283.949,283.958,283.939,283.96,283.956,283.953,283.96,283.967,283.947,283.966,283.947,283.953,283.954,283.954,283.964,283.95,283.952,283.958,283.946
283.971,283.966,283.976,283.956,283.962,283.956,283.965,283.972,283.964,283.965,283.969,283.959,283.968,283.967,283.975,283.969,283.98,283.966,283.973,283.97,283.967,283.966,283.985,283.97,283.962,283.976,283.96,283.978,283.967,283.963,283.96,283.969,283.962,283.971,283.968,283.957,283.96,283.975,283.947,283.973,283.969,283.964,283.975,283.988,283.961,283.98,283.964,283.969,283.972,283.969,283.98,283.962,283.963,283.973,283.953
283.986,283.981,283.991,283.972,283.978,283.965,283.981,283.985,283.977,283.979,283.983,283.977,283.981,283.978,284.002,283.982,283.997,283.982,283.989,283.985,283.982,283.982,284.002,283.986,283.985,283.993,283.977,283.995,283.986,283.984,283.978,283.983,283.977,283.984,283.982,283.971,283.971,283.993,283.963,283.99,283.988,283.981,283.985,284.006,283.976,283.995,283.984,283.987,283.988,283.985,283.997,283.977,283.976,283.987,283.965
284.004,283.997,284.006,283.99,283.993,283.975,283.999,284,283.99,283.996,284,283.999,283.995,283.986,284.034,283.996,284.015,284.003,284.003,283.998,283.997,283.997,284.016,284.002,284.008,284.011,283.993,284.011,284.004,284.003,283.997,283.999,283.996,283.996,283.993,283.989,283.983,284.014,283.98,284.008,284.006,283.997,283.997,284.025,283.993,284.008,284.003,284.006,284.004,284.003,284.015,283.99,283.989,284.003,283.983
284.021,284.014,284.022,284.008,284.01,283.987,284.017,284.016,284.007,284.013,284.021,284.02,284.012,283.994,284.064,284.015,284.033,284.022,284.019,284.01,284.015,284.015,284.029,284.022,284.028,284.03,284.011,284.027,284.02,284.025,284.021,284.018,284.02,284.008,284.004,284.007,283.995,284.033,283.998,284.022,284.031,284.019,284.011,284.043,284.014,284.019,284.022,284.024,284.026,284.023,284.035,284.003,284.006,284.022,284.006
