"","Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
"1960",314.505,314.481,314.526,314.438,314.372,314.147,313.987,314.593,314.366,314.354,314.345,314.29,314.274,313.991,313.804,315.085,314.812,314.861,314.852,314.8,314.811,314.333,314.263,315.91,315.687,315.707,315.678,315.625,315.649,315.351,315.092,316.744,316.562,316.584,316.625,316.705,316.623,316.075,316.093,317.936,317.8,317.643,317.588,317.566,317.45,317.45,316.974,318.656,318.766,318.68,318.519,318.38,318.324,318.352,317.771
"1961",315.303,315.275,315.312,315.23,315.161,314.923,314.768,315.398,315.165,315.158,315.136,315.087,315.068,314.769,314.573,315.895,315.621,315.679,315.661,315.611,315.617,315.129,315.06,316.752,316.519,316.553,316.52,316.456,316.475,316.163,315.89,317.614,317.421,317.444,317.479,317.559,317.467,316.924,316.929,318.829,318.684,318.536,318.473,318.442,318.323,318.318,317.814,319.559,319.671,319.595,319.42,319.283,319.223,319.25,318.651
"1962",315.986,315.944,315.989,315.902,315.828,315.581,315.432,316.084,315.845,315.843,315.811,315.768,315.744,315.43,315.228,316.592,316.317,316.376,316.35,316.305,316.312,315.813,315.744,317.478,317.237,317.279,317.244,317.172,317.187,316.849,316.571,318.37,318.164,318.187,318.213,318.296,318.196,317.66,317.649,319.609,319.445,319.315,319.248,319.204,319.084,319.068,318.544,320.349,320.465,320.389,320.207,320.07,320.001,320.029,319.416
"1963",316.679,316.63,316.678,316.59,316.516,316.255,316.111,316.78,316.532,316.54,316.494,316.46,316.433,316.108,315.892,317.305,317.03,317.089,317.051,317.013,317.02,316.515,316.443,318.222,317.969,318.019,317.98,317.904,317.919,317.548,317.265,319.135,318.919,318.945,318.97,319.052,318.943,318.423,318.388,320.405,320.224,320.108,320.042,319.984,319.866,319.839,319.291,321.156,321.274,321.202,321.018,320.877,320.799,320.823,320.196
"1964",317.432,317.376,317.435,317.343,317.261,316.991,316.852,317.536,317.28,317.291,317.245,317.21,317.181,316.845,316.618,318.081,317.808,317.856,317.817,317.784,317.79,317.279,317.197,319.028,318.766,318.815,318.78,318.7,318.714,318.307,318.023,319.957,319.741,319.762,319.789,319.87,319.753,319.243,319.185,321.264,321.068,320.958,320.897,320.828,320.714,320.671,320.107,322.022,322.148,322.078,321.887,321.743,321.661,321.684,321.038
"1965",318.213,318.156,318.215,318.125,318.037,317.751,317.623,318.325,318.06,318.079,318.026,317.992,317.965,317.612,317.384,318.89,318.61,318.658,318.615,318.586,318.593,318.077,317.979,319.861,319.587,319.646,319.602,319.523,319.534,319.102,318.806,320.812,320.592,320.609,320.632,320.717,320.593,320.089,320.012,322.153,321.948,321.842,321.783,321.709,321.59,321.54,320.961,322.926,323.055,322.991,322.79,322.637,322.562,322.573,321.92
"1966",319.021,318.956,319.02,318.933,318.839,318.537,318.414,319.142,318.87,318.887,318.829,318.793,318.77,318.401,318.181,319.726,319.435,319.487,319.439,319.407,319.414,318.9,318.783,320.722,320.439,320.498,320.45,320.369,320.38,319.926,319.625,321.693,321.471,321.483,321.504,321.59,321.456,320.959,320.866,323.076,322.861,322.757,322.701,322.618,322.489,322.429,321.847,323.856,323.992,323.93,323.72,323.562,323.486,323.49,322.839
"1967",319.849,319.79,319.849,319.764,319.666,319.351,319.233,319.986,319.698,319.723,319.656,319.62,319.599,319.218,318.998,320.59,320.287,320.334,320.286,320.25,320.255,319.748,319.61,321.613,321.312,321.383,321.326,321.244,321.248,320.78,320.47,322.608,322.377,322.39,322.401,322.486,322.347,321.857,321.746,324.02,323.792,323.692,323.634,323.55,323.412,323.336,322.756,324.815,324.954,324.896,324.673,324.511,324.433,324.428,323.783
"1968",320.719,320.663,320.722,320.639,320.534,320.208,320.097,320.873,320.571,320.597,320.53,320.491,320.47,320.076,319.858,321.495,321.183,321.222,321.18,321.137,321.139,320.637,320.476,322.547,322.238,322.303,322.243,322.163,322.162,321.68,321.357,323.569,323.328,323.344,323.336,323.422,323.279,322.796,322.666,325.006,324.773,324.674,324.618,324.529,324.383,324.29,323.704,325.825,325.969,325.903,325.676,325.507,325.431,325.411,324.772
"1969",321.672,321.621,321.671,321.592,321.479,321.142,321.037,321.838,321.525,321.55,321.473,321.438,321.419,321.008,320.797,322.482,322.164,322.199,322.145,322.101,322.099,321.599,321.424,323.562,323.246,323.309,323.241,323.167,323.153,322.66,322.326,324.611,324.361,324.378,324.361,324.444,324.287,323.812,323.665,326.074,325.842,325.743,325.681,325.588,325.441,325.325,324.725,326.921,327.068,326.986,326.769,326.584,326.508,326.469,325.837
